State Name,Division Name,SchemeId,Scheme Name,Estimated cost (in lakhs) as per work order,Sanction Year,SLSSC/ DWSSM meeting date (dd/mm/yyyy),Work order date (dd/mm/yyyy),Physical completion date,Tentative completion date,Derived estimated cost  (in lakhs),Total_inadmissible_cost  (in lakhs),Derived estimated cost after removing inadmisible cost loaded on JJM  (in lakhs),Total expenditure (in lakhs),Total central expenditure (in lakhs),Total expenditure (in lakhs) on or after 2019-20,Total central expenditure (in lakhs) on or after 2019-20,Status Of Completion,Category,Village Scheme Type,FHTCS planned,FHTCS provided,Source of Scheme,Un-verified status,Main Schemes Funded From,Type of scheme,In-village infrastructure cost (in lakhs) (After financial authentication),Central share cost (in lakhs) (After financial authentication),Community contribution (in lakhs) (After financial authentication),Physical completion progress (In percentage),Physical Work Status,Last FHTC reported Month,Last FHTC reported Year,Last Expenditure reported Month,Last Expenditure reported Year,Updated On
madhya pradesh,e.e. phed divivsion indore,8338619.0,chhapariya retrofitting scheme (c),41.76,2020-2021,28-01-2021,25-05-2021,01-01-2024,28-02-2026,41.76,0.0,41.76,34.20973,10.38504,34.20973,10.38504,ongoing,new pws scheme,svs,40.0,40.0,surface water based,not specified,jjm-pws,pws schemes,41.76,18.792,4.176,100.0,physically completed,not provided,2023.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division seoni,30233568.0,pipe water supply scheme jutrara 2023,50.3,2022-2023,27-02-2023,27-06-2023,not provided,31-07-2025,50.3,0.0,50.3,8.81847,3.04935,8.81847,3.04935,ongoing,new pws scheme,svs,128.0,21.0,ground water based,not specified,jjm-pws,pws schemes,50.3,22.635,5.03,40.0,ongoing but physically not completed,not provided,2024.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division jhabua,30069271.0,new const.of pwss jharnia block jhabua,147.15,2021-2022,30-12-2021,06-09-2022,not provided,30-06-2025,147.15,0.0,147.15,87.7018,34.45941,87.7018,34.45941,ongoing,new pws scheme,svs,157.0,144.0,ground water based,not specified,jjm-pws,pws schemes,147.15,69.896,7.358,80.0,ongoing but physically not completed,not provided,2025.0,not provided,2024.0,23-04-2025
madhya pradesh,e.e. phed division gwalior,8354638.0,egs adiwasi ka pura,1.72,2021-2022,21-12-2020,01-04-2021,04-03-2023,22-02-2024,1.72,0.0,1.72,1.0,0.5,1.0,0.5,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.86,0.0,100.0,physically completed,not provided,not specified,not provided,2021.0,23-04-2025
madhya pradesh,e.e. phed division jhabua,30067153.0,new const.of pwss surdiya block ranapur,189.17,2020-2021,30-12-2021,05-09-2022,not provided,30-06-2025,189.17,0.0,189.17,122.59762,55.50981,122.59762,55.50981,ongoing,new pws scheme,svs,114.0,59.0,ground water based,not specified,jjm-pws,pws schemes,189.17,89.856,9.458,70.0,ongoing but physically not completed,not provided,2023.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division shivpuri,30234711.0,gada  pwss new,68.92,2022-2023,07-11-2022,11-09-2023,not provided,31-12-2025,68.92,0.0,68.92,36.49434,17.11827,36.49434,17.11827,ongoing,new pws scheme,svs,214.0,100.0,ground water based,not specified,jjm-pws,pws schemes,68.92,31.014,6.892,0.0,ongoing but physically not completed,not provided,2024.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division khandwa,8356099.0,"water suppy in primary school villages itawamal, handiyakheda, rajgarh singot,bhagiyapur,dhanora, lakhora khurd and pipliya khurd  aa. no. 939 date 24.12.2020",44.03,2020-2021,24-12-2020,26-03-2021,28-05-2023,30-06-2024,44.03,0.0,44.03,29.21879,14.6094,29.21879,14.6094,ongoing,new pws scheme,mvs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,22.015,0.0,100.0,physically completed,not provided,not specified,not provided,2022.0,23-04-2025
madhya pradesh,e.e. phed division dewas,30164382.0,baroli pwss 2022,119.74,2021-2022,29-12-2021,30-11-2022,15-07-2024,31-03-2025,119.74,0.0,119.74,103.16203,41.84202,103.16203,41.84202,ongoing,new pws scheme,svs,600.0,499.0,ground water based,not specified,jjm-pws,pws schemes,119.74,53.883,11.974,100.0,physically completed,not provided,2024.0,not provided,2025.0,23-04-2025
madhya pradesh,ee phed burhanpur,8129703.0,kardali pwss,44.29,2020-2021,07-09-2020,18-09-2020,30-09-2021,30-09-2023,44.29,0.0,44.29,27.664,13.832,27.664,13.832,ongoing,new pws scheme,svs,167.0,167.0,ground water based,not specified,jjm-pws,pws schemes,44.29,21.038,2.215,100.0,physically completed,not provided,2021.0,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed divivsion vidisha,30159239.0,atasemar (new svs),155.06,2022-2023,30-08-2022,17-04-2023,not provided,27-03-2025,155.06,0.0,155.06,34.1373,17.06865,34.1373,17.06865,ongoing,new pws scheme,svs,511.0,123.0,ground water based,not specified,jjm-pws,pws schemes,155.06,69.777,15.506,30.0,ongoing but physically not completed,not provided,2024.0,not provided,2024.0,23-04-2025
madhya pradesh,e.e. phed divivsion raisen,8181887.0,ucher retrofitting pwss,69.6,2020-2021,01-12-2020,17-01-2021,11-11-2024,31-12-2024,69.6,0.0,69.6,17.82054,8.90651,17.82054,8.90651,ongoing,retrofit/ augmentation,svs,258.0,155.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,69.6,33.06,3.48,100.0,physically completed,not provided,2023.0,not provided,2024.0,23-04-2025
madhya pradesh,e.e. phed division jhabua,30232515.0,retrofiting const of pwss himmatgarh block rama,52.19,2022-2023,04-01-2023,01-04-2023,not provided,30-06-2025,52.19,0.0,52.19,28.00887,3.86236,28.00887,3.86236,ongoing,retrofit/ augmentation,svs,90.0,0.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,52.19,24.79,2.61,0.0,ongoing but physically not completed,not provided,not specified,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed divivsion rajgarh,8384816.0,aankh kheda primary school,1.53,2021-2022,31-03-2021,06-04-2021,not provided,31-03-2024,1.53,0.0,1.53,0.0,0.0,0.0,0.0,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.765,0.0,0.0,ongoing but physically not completed,not provided,not specified,not provided,not specified,23-04-2025
madhya pradesh,e.e. phed divivsion vidisha,8219006.0,lalakhedi new,29.95,2020-2021,28-10-2020,18-02-2021,not provided,31-08-2024,29.95,0.0,29.95,18.7128,9.3814,18.7128,9.3814,ongoing,new pws scheme,svs,86.0,62.0,ground water based,not specified,jjm-pws,pws schemes,29.95,13.477,2.995,55.0,ongoing but physically not completed,not provided,2022.0,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division chhatarpur,8388027.0,ps devtha,1.37,2021-2022,01-03-2021,12-04-2021,not provided,31-03-2022,1.37,0.0,1.37,0.0,0.0,0.0,0.0,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.685,0.0,0.0,ongoing but physically not completed,not provided,not specified,not provided,not specified,23-04-2025
madhya pradesh,e.e. phed division alirajpur,8231040.0,andharkanch pwss (jjm),215.95,2020-2021,27-11-2020,11-12-2020,19-03-2024,30-04-2025,215.95,0.0,215.95,204.14389,76.34248,204.14389,76.34248,ongoing,retrofit/ augmentation,svs,476.0,331.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,215.95,102.576,10.797,100.0,physically completed,not provided,2022.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division khandwa,8356157.0,"water supply scheme in villages bawdiya kaji, rijgaon,chichli bujurg, amlani,kamliya,kaveshver ,baliyapura and rudhi block khandwa aa. no. 942 date 24.12.2020",40.25,2020-2021,24-12-2020,31-03-2021,28-05-2023,30-06-2024,40.25,0.0,40.25,37.02485,18.51243,37.02485,18.51243,ongoing,new pws scheme,mvs,5.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,20.125,0.0,100.0,physically completed,not provided,not specified,not provided,2022.0,23-04-2025
madhya pradesh,e.e. phed division ashok nagar,30210179.0,ranwsar retrofitting,21.73,2021-2022,01-01-2022,25-05-2022,04-03-2023,31-03-2025,21.73,0.0,21.73,14.60108,9.7785,14.60108,9.7785,ongoing,retrofit/ augmentation,svs,23.0,0.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,21.73,9.779,2.173,100.0,physically completed,not provided,not specified,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed divivsion hoshangabad,30066471.0,new pwss jetwada,34.23,2021-2022,05-10-2021,05-09-2022,23-03-2025,31-12-2025,34.23,0.0,34.23,28.71866,11.30803,28.71866,11.30803,ongoing,new pws scheme,svs,135.0,73.0,ground water based,not specified,jjm-pws,pws schemes,34.23,15.403,3.423,100.0,physically completed,not provided,2024.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed divivsion bhopal,30028620.0,rasuliya pathar   retrofit,54.56,2021-2022,02-12-2020,03-01-2022,not provided,31-08-2023,54.56,0.0,54.56,32.12686,16.06343,32.12686,16.06343,ongoing,retrofit/ augmentation,svs,12.0,0.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,54.56,24.552,5.456,60.0,ongoing but physically not completed,not provided,not specified,not provided,2022.0,23-04-2025
madhya pradesh,e.e. phed division bhind,30214003.0,tukeda new jjm pwss,191.26,2022-2023,28-12-2022,21-12-2023,not provided,30-06-2025,191.26,0.0,191.26,19.91116,9.95558,19.91116,9.95558,ongoing,new pws scheme,svs,597.0,17.0,ground water based,not specified,jjm-pws,pws schemes,191.26,86.067,19.126,10.0,ongoing but physically not completed,not provided,2024.0,not provided,2024.0,23-04-2025
madhya pradesh,e.e. phed divivsion betul,30157436.0,bhayawadi jjm,42.77,2022-2023,04-01-2023,14-07-2023,not provided,30-11-2024,42.77,0.0,42.77,11.27201,5.63601,11.27201,5.63601,ongoing,new pws scheme,svs,113.0,121.0,bulk water based,not specified,jjm-pws,pws schemes,42.77,19.247,4.277,0.0,ongoing but physically not completed,not provided,2024.0,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division balaghat,8240771.0,"deori bujurg (school, ang)",4.5,2020-2021,19-01-2021,22-02-2021,22-07-2024,23-07-2024,4.2,0.0,4.2,4.2,2.0,4.2,2.0,financially completed,new pws scheme,svs,3.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,2.25,0.0,100.0,physically completed,not provided,not specified,not provided,2022.0,23-04-2025
madhya pradesh,e.e. phed division gwalior,8368255.0,bijauli anganwadi kendra,1.66,2021-2022,21-12-2020,01-04-2021,06-03-2023,17-03-2025,1.66,0.0,1.66,1.66,0.64,1.66,0.64,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.83,0.0,100.0,physically completed,not provided,not specified,not provided,2024.0,23-04-2025
madhya pradesh,e.e. phed division guna,8334400.0,kudaliya school and anganwadi,18.85,2020-2021,21-12-2020,18-02-2021,02-06-2023,30-06-2024,18.85,0.0,18.85,3.89643,1.94822,3.89643,1.94822,ongoing,new pws scheme,mvs,3.0,0.0,ground water based,not specified,jjm-pws,pws schemes,18.85,8.482,1.885,100.0,physically completed,not provided,not specified,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division damoh,8241330.0,kerbana (retrofitting),98.7,2020-2021,20-02-2020,17-02-2021,30-07-2024,31-01-2025,98.7,0.0,98.7,89.14107,44.41483,89.14107,44.41483,ongoing,retrofit/ augmentation,svs,778.0,578.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,98.7,44.415,9.87,100.0,physically completed,not provided,2024.0,not provided,2024.0,23-04-2025
madhya pradesh,e.e. phed division barwani,8219677.0,salikalan rjjm pwss,238.22,2020-2021,28-09-2020,24-02-2021,not provided,30-06-2024,238.22,0.0,238.22,144.54423,101.31648,144.54423,101.31648,ongoing,retrofit/ augmentation,svs,479.0,356.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,238.22,113.154,11.911,52.0,ongoing but physically not completed,not provided,2022.0,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division alirajpur,7758835.0,nanpur pwss (aug),107.71,2017-2018,18-02-2020,14-03-2018,31-03-2019,30-06-2024,51.97802,0.0,51.97802,106.65513,40.72497,51.97802,0.0,financially completed,retrofit/ augmentation,svs,1070.0,822.0,ground water based,not specified,nrdwp,ongoing and subsumed for retrofit & augmentation,0.0,53.855,0.0,100.0,physically completed,not provided,2021.0,not provided,2019.0,23-04-2025
madhya pradesh,e.e. phed division sheopur,8327089.0,bagwada p.s,0.88,2021-2022,22-02-2021,19-06-2021,not provided,31-08-2021,0.88,0.0,0.88,0.87,0.44,0.87,0.44,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.44,0.0,10.0,ongoing but physically not completed,not provided,not specified,not provided,2021.0,23-04-2025
madhya pradesh,jabalpur (e&m) division,8354824.0,bargud pwss mech.,16.25,2020-2021,19-01-2021,24-03-2021,23-01-2024,30-06-2025,16.25,0.784,15.466,10.22,3.625,10.22,3.625,ongoing,new pws scheme,svs,5.0,34.0,ground water based,not specified,jjm-pws,pws schemes,15.466,7.346,0.773,100.0,physically completed,not provided,2024.0,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division khargone,30138113.0,umardad_retro,76.37,2022-2023,24-05-2022,10-10-2022,15-01-2025,31-12-2025,76.37,0.0,76.37,53.71928,32.15303,53.71928,32.15303,ongoing,retrofit/ augmentation,svs,153.0,147.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,76.37,36.276,3.819,100.0,physically completed,not provided,2023.0,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division mandsour,8382143.0,damma khedi anganwadi scheme,2.65,2021-2022,28-01-2021,14-09-2021,24-05-2023,31-05-2023,2.65,0.0,2.65,3.0,1.5,3.0,1.5,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,1.325,0.0,100.0,physically completed,not provided,not specified,not provided,2022.0,23-04-2025
madhya pradesh,e.e. phed division seoni,8226173.0,dehwani_gwari_existing_pwss_retrofitting_2020_21,70.72,2020-2021,19-10-2020,19-10-2020,not provided,30-04-2025,70.72,0.0,70.72,33.60139,8.53808,33.60139,8.53808,ongoing,retrofit/ augmentation,svs,113.0,51.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,70.72,31.824,7.072,10.0,ongoing but physically not completed,not provided,2025.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division khargone,7752533.0,bediyapura pwss (odf),58.07,2017-2018,12-06-2018,12-06-2018,31-12-2018,31-03-2020,28.33058,0.0,28.33058,41.56431,21.06695,28.33058,21.06695,financially completed,new pws scheme,svs,8.0,111.0,ground water based,not specified,nrdwp,ongoing and not taken for retrofit & augmentation (nrdwp schemes where expenditure booked since launch of jjm),0.0,0.0,0.0,100.0,physically completed,not provided,2019.0,not provided,2020.0,23-04-2025
madhya pradesh,e.e. phed division ujjain,30074160.0,kaitha school anganwadi scheme 2021-22,71.15,2021-2022,24-07-2021,20-07-2022,14-02-2024,31-12-2025,71.15,0.0,71.15,63.7152,31.85761,63.7152,31.85761,ongoing,new pws scheme,svs,1.0,0.0,ground water based,not specified,jjm-pws,pws schemes,0.0,35.575,0.0,100.0,physically completed,not provided,not specified,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed divivsion indore,8344401.0,basandra pwss scheme,86.2,2020-2021,28-01-2021,03-06-2021,27-06-2024,31-12-2025,86.2,0.0,86.2,80.48031,38.41735,80.48031,38.41735,ongoing,new pws scheme,svs,344.0,344.0,ground water based,not specified,jjm-pws,pws schemes,86.2,38.79,8.62,100.0,physically completed,not provided,2023.0,not provided,2024.0,23-04-2025
madhya pradesh,ee phed burhanpur,8162610.0,melchuka  pwss,17.11,2020-2021,03-09-2020,18-09-2020,30-09-2021,30-04-2024,17.11,0.0,17.11,13.05474,6.52737,13.05474,6.52737,ongoing,new pws scheme,svs,64.0,64.0,ground water based,not specified,jjm-pws,pws schemes,17.11,8.127,0.856,100.0,physically completed,not provided,2021.0,not provided,2024.0,23-04-2025
madhya pradesh,e.e. phed division morena,8279613.0,jaitpur chambal jjm pwss,21.89,2020-2021,09-07-2020,08-03-2021,21-01-2024,31-12-2024,21.89,0.0,21.89,37.17948,18.58974,37.17948,18.58974,ongoing,retrofit/ augmentation,mvs,227.0,183.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,21.89,9.851,2.189,100.0,physically completed,not provided,2022.0,not provided,2022.0,23-04-2025
madhya pradesh,e.e. phed division parasia,30054515.0,futera anganwadi,1.5,2020-2021,04-02-2021,25-06-2021,not provided,31-07-2023,1.5,0.0,1.5,1.3025,0.65125,1.3025,0.65125,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.75,0.0,0.0,ongoing but physically not completed,not provided,not specified,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed divivsion vidisha,8069704.0,panjh retrofitting,27.42,2020-2021,16-07-2020,07-11-2020,not provided,16-08-2024,27.42,0.0,27.42,19.11011,8.7812,19.11011,8.7812,ongoing,retrofit/ augmentation,svs,95.0,0.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,27.42,12.339,2.742,80.0,ongoing but physically not completed,not provided,not specified,not provided,2023.0,23-04-2025
madhya pradesh,jabalpur (e&m) division,8356057.0,bamhani	pwss m,18.63,2021-2022,16-02-2021,20-04-2021,18-02-2024,05-12-2024,18.63,0.784,17.846,11.41719,7.65544,11.41719,7.65544,ongoing,new pws scheme,svs,61.0,44.0,ground water based,not specified,jjm-pws,pws schemes,17.846,8.03,1.785,100.0,physically completed,not provided,2022.0,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed divivsion vidisha,30073074.0,simar dhan  (retro.),56.39,2021-2022,01-04-2021,23-08-2022,not provided,31-08-2025,56.39,0.0,56.39,53.71079,25.375,53.71079,25.375,ongoing,retrofit/ augmentation,svs,190.0,156.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,56.39,25.375,5.639,80.0,ongoing but physically not completed,not provided,2024.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division chhatarpur,8385084.0,ps salaiya,1.27,2021-2022,12-03-2021,01-04-2021,04-02-2024,08-02-2024,1.0,0.0,1.0,1.0,0.5,1.0,0.5,financially completed,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.635,0.0,100.0,physically completed,not provided,not specified,not provided,2022.0,23-04-2025
madhya pradesh,e.e. phed division damoh,30067460.0,jabera  school group scheme 1,26.23,2021-2022,24-11-2021,20-01-2022,not provided,31-12-2024,26.23,0.0,26.23,16.82503,7.71082,16.82503,7.71082,ongoing,new pws scheme,mvs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,26.23,11.803,2.623,85.0,ongoing but physically not completed,not provided,not specified,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division morena,30232755.0,lalpura jjm porsa pwss,97.34939,2020-2021,31-03-2021,22-02-2022,not provided,31-12-2025,97.34939,0.0,97.34939,72.66029,0.0,72.66029,0.0,ongoing,new pws scheme,svs,373.0,233.0,ground water based,not specified,jjm-pws,pws schemes,0.0,48.675,0.0,0.0,ongoing but physically not completed,not provided,2024.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division mandsour,8344691.0,molyakhedi anganwadi scheme,1.31,2020-2021,29-12-2020,22-03-2021,27-05-2023,31-05-2023,1.31,0.0,1.31,1.31,0.25,1.31,0.25,ongoing,new pws scheme,svs,1.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.655,0.0,100.0,physically completed,not provided,not specified,not provided,2022.0,23-04-2025
madhya pradesh,e.e. phed division sheopur,8321226.0,bukhari,2.025,2020-2021,22-02-2021,18-03-2021,not provided,30-06-2021,2.025,0.0,2.025,2.025,1.0125,2.025,1.0125,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,1.012,0.0,0.0,ongoing but physically not completed,not provided,not specified,not provided,2022.0,23-04-2025
madhya pradesh,e.e. phed division balaghat,8233104.0,"thanegaon (sch, ang)",21.57,2020-2021,19-01-2021,16-02-2021,29-07-2024,31-12-2024,21.57,0.0,21.57,20.37195,6.69614,20.37195,6.69614,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,10.785,0.0,100.0,physically completed,not provided,not specified,not provided,2024.0,23-04-2025
madhya pradesh,e.e. phed division shahdol,30052595.0,naudhiya,33.1,2021-2022,01-06-2021,18-07-2022,25-06-2024,30-06-2025,33.1,0.0,33.1,18.83596,13.4678,18.83596,13.4678,ongoing,new pws scheme,svs,85.0,80.0,ground water based,not specified,jjm-pws,pws schemes,33.1,14.895,3.31,100.0,physically completed,not provided,2024.0,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division mandla,30144492.0, khamrauti ryt. pwss,133.02,2022-2023,11-11-2021,29-08-2022,not provided,31-03-2026,133.02,0.0,133.02,124.41579,61.23579,124.41579,61.23579,ongoing,new pws scheme,svs,470.0,373.0,ground water based,not specified,jjm-pws,pws schemes,133.02,63.185,6.651,95.0,ongoing but physically not completed,not provided,2024.0,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division khargone,8046210.0,kamodwada (zrny)_pwss_retro,90.44,2020-2021,28-09-2020,06-01-2021,24-05-2023,31-12-2024,90.44,0.0,90.44,78.03902,38.92951,78.03902,38.92951,ongoing,retrofit/ augmentation,svs,305.0,366.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,82.22,41.109,8.222,100.0,physically completed,not provided,2022.0,not provided,2024.0,23-04-2025
madhya pradesh,e.e. phed division sardarpur,30052916.0,chikhalda punarbasahat jjm retrofit pwss,217.81,2021-2022,15-09-2020,04-02-2022,not provided,31-03-2028,217.81,0.0,217.81,80.10729,39.80364,80.10729,39.80364,ongoing,retrofit/ augmentation,svs,427.0,25.0,ground water based,not specified,state and others,state & other completed and subsumed for retrofit & augmentation,217.81,103.46,10.891,60.0,ongoing but physically not completed,not provided,2024.0,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division khurai,30056116.0,jalandhar,109.5,2020-2021,11-12-2020,13-09-2021,not provided,31-12-2024,109.5,0.0,109.5,98.54998,49.27499,98.54998,49.27499,ongoing,new pws scheme,svs,661.0,122.0,ground water based,not specified,jjm-pws,pws schemes,109.5,49.275,10.95,0.0,ongoing but physically not completed,not provided,2024.0,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division umaria,30083954.0, bhagda pwss scheme,51.5334,2022-2023,30-09-2021,18-11-2022,09-09-2024,18-12-2025,51.5334,0.0,51.5334,45.91385,18.91986,45.91385,18.91986,ongoing,new pws scheme,svs,116.0,88.0,ground water based,not specified,jjm-pws,pws schemes,51.533,24.478,2.577,100.0,physically completed,not provided,2024.0,not provided,2024.0,23-04-2025
madhya pradesh,e.e. phed division gwalior,8317682.0,aaroli middle school,1.72,2021-2022,21-12-2020,01-04-2021,not provided,30-07-2021,1.72,0.0,1.72,1.71,0.855,1.71,0.855,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.86,0.0,0.0,ongoing but physically not completed,not provided,not specified,not provided,2022.0,23-04-2025
madhya pradesh,e.e. phed division ujjain,30253434.0,sutar kheda anganwadi scheme,2.62,2020-2021,19-01-2021,19-01-2021,31-07-2024,31-12-2025,2.62,0.0,2.62,0.0,0.0,0.0,0.0,ongoing,new pws scheme,svs,1.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,1.31,0.0,100.0,physically completed,not provided,not specified,not provided,not specified,23-04-2025
madhya pradesh,e.e. phed divivsion hoshangabad,30069907.0,new pwss sail,89.55,2022-2023,04-01-2022,19-09-2022,not provided,31-12-2025,89.55,0.0,89.55,79.65947,39.82973,79.65947,39.82973,ongoing,new pws scheme,svs,301.0,280.0,ground water based,not specified,jjm-pws,pws schemes,89.55,40.297,8.955,90.0,ongoing but physically not completed,not provided,2023.0,not provided,2024.0,23-04-2025
madhya pradesh,e.e. phed division satna,8166638.0,mishrgawan,36.87,2020-2021,30-07-2020,13-01-2021,20-06-2023,30-06-2025,36.87,0.0,36.87,25.12417,11.30718,25.12417,11.30718,ongoing,retrofit/ augmentation,svs,168.0,144.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,36.87,17.514,1.843,100.0,physically completed,not provided,2022.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division dewas,7751526.0,kakariya (odf) pwss,95.1,2017-2018,17-11-2017,18-05-2017,31-07-2019,31-07-2024,79.97498,0.0,79.97498,106.15505,33.85102,79.97498,33.85102,ongoing,new pws scheme,svs,400.0,350.0,ground water based,not specified,nrdwp,ongoing and not taken for retrofit & augmentation (nrdwp schemes where expenditure booked since launch of jjm),0.0,0.0,0.0,100.0,physically completed,not provided,2022.0,not provided,2021.0,23-04-2025
madhya pradesh,e.e. phed division chhatarpur,8358814.0,ms ghoghra,1.61,2021-2022,12-03-2021,01-04-2021,03-02-2024,09-02-2024,1.4,0.0,1.4,1.4,0.7,1.4,0.7,financially completed,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.805,0.0,100.0,physically completed,not provided,not specified,not provided,2022.0,23-04-2025
madhya pradesh,e.e. phed division sidhi,30071897.0,dihuli tikar no.3 retro pwss,150.87,2021-2022,17-07-2021,14-02-2022,not provided,31-12-2025,150.87,0.0,150.87,107.62949,55.81474,107.62949,55.81474,ongoing,retrofit/ augmentation,svs,142.0,78.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,150.87,67.892,15.087,65.0,ongoing but physically not completed,not provided,2024.0,not provided,2024.0,23-04-2025
madhya pradesh,e.e. phed division parasia,30011431.0,dhanora jjm scheme,18.4,2020-2021,21-12-2020,05-07-2021,not provided,04-07-2022,18.4,0.0,18.4,7.47836,3.73918,7.47836,3.73918,ongoing,retrofit/ augmentation,svs,17.0,15.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,18.4,8.28,1.84,0.0,ongoing but physically not completed,not provided,2022.0,not provided,2022.0,23-04-2025
madhya pradesh,e.e. phed division mandla,30249617.0,chandia jar,99.77,2022-2023,03-02-2023,04-09-2023,not provided,30-04-2025,99.77,0.0,99.77,80.48964,49.885,80.48964,49.885,ongoing,new pws scheme,svs,190.0,140.0,ground water based,not specified,jjm-pws,pws schemes,0.0,49.885,0.0,80.0,ongoing but physically not completed,not provided,2025.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division parasia,30236454.0,bhais khoh jjm scheme,96.95,2023-2024,20-04-2023,05-12-2023,not provided,31-12-2025,96.95,0.0,96.95,85.29356,18.21771,85.29356,18.21771,ongoing,new pws scheme,svs,248.0,87.0,ground water based,not specified,jjm-pws,pws schemes,96.95,46.051,4.848,0.0,ongoing but physically not completed,not provided,2025.0,not provided,2025.0,23-04-2025
