State Name,Division Name,SchemeId,Scheme Name,Estimated cost (in lakhs) as per work order,Sanction Year,SLSSC/ DWSSM meeting date (dd/mm/yyyy),Work order date (dd/mm/yyyy),Physical completion date,Tentative completion date,Derived estimated cost  (in lakhs),Total_inadmissible_cost  (in lakhs),Derived estimated cost after removing inadmisible cost loaded on JJM  (in lakhs),Total expenditure (in lakhs),Total central expenditure (in lakhs),Total expenditure (in lakhs) on or after 2019-20,Total central expenditure (in lakhs) on or after 2019-20,Work not awarded/ Ongoing/ Financially completed,New scheme/ Retrofit/ Augmentation,SVS/ MVS/ Bulk Water Schemes,FHTCS planned,FHTCS provided,Ground/ Surface water/ Bulk Water Based/ Other,Un-verified status,NRDWP/ State and Others/ JJM-PWS/ JJM-Non-PWS,Type of scheme,In-village infrastructure cost (in lakhs) (After financial authentication),Central share cost (in lakhs) (After financial authentication),Community contribution (in lakhs) (After financial authentication),Physical completion progress (In percentage),Physically completed/ Ongoing but physically not completed/ Work order not issued,Last FHTC reported Month,Last FHTC reported Year,Last Expenditure reported Month,Last Expenditure reported Year,Updated On
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division REWA,8156534,VENIPURWA (452) (RETROFIT) PWSS,28.16,2020-2021,16-07-2020,30-12-2020,,31-12-2025,28.16,0,28.16,25.34399,12.672,25.34399,12.672,Ongoing,retrofit/ Augmentation,SVS,165,2,Ground water based,,NRDWP,NRDWP completed and subsumed for Retrofit & Augmentation,28.16,12.672,2.816,85,Ongoing but physically not completed,October,2021,March,2023,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division CHHINDWARA,30238389,JHIRLINGA DURGA DHANA_PS,1.5,2020-2021,07-11-2020,10-05-2022,,30-11-2023,1.5,0,1.5,1.5,0.75,1.5,0.75,Ongoing,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,0.75,0,0,Ongoing but physically not completed,,,November,2023,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Divivsion Rajgarh,8286300,PS Padli,1.53,2020-2021,28-01-2021,06-04-2021,05-06-2023,14-06-2023,0,0,0,0,0,0,0,Financially completed,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,0.765,0,100,Physically completed,,,,,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division MANDLA,30218129,PADARIYA RYT. PWSS,55.34,2020-2021,18-08-2020,10-08-2022,,31-03-2026,55.34,0,55.34,50,25,50,25,Ongoing,retrofit/ Augmentation,SVS,131,10,Ground water based,,NRDWP,NRDWP completed and subsumed for Retrofit & Augmentation,55.34,26.287,2.767,85,Ongoing but physically not completed,December,2023,November,2023,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Dhar,8153809,Lodhipura NPWSS 2020,126.28,2020-2021,01-12-2020,10-12-2020,,31-12-2025,126.28,0,126.28,116.5477,52.1204,116.5477,52.1204,Ongoing,retrofit/ Augmentation,MVS,331,287,Ground water based,,NRDWP,NRDWP completed and subsumed for Retrofit & Augmentation,126.28,56.826,12.628,51,Ongoing but physically not completed,September,2022,March,2025,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division KATNI,8161523,GUDRI RETROFITTING SCHEME,33.07,2020-2021,07-08-2020,25-11-2020,06-06-2023,31-01-2024,33.07,0,33.07,24.93632,12.46817,24.93632,12.46817,Ongoing,retrofit/ Augmentation,SVS,147,115,Ground water based,,NRDWP,NRDWP completed and subsumed for Retrofit & Augmentation,33.07,14.882,3.307,100,Physically completed,June,2023,July,2023,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Datia,30010735,"PIPRA,school",1.2,2021-2022,23-11-2020,02-07-2021,,10-03-2022,1.2,0,1.2,1.17053,0,1.17053,0,Ongoing,New PWS scheme,SVS,0,109,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,0.6,0,0,Ongoing but physically not completed,June,2022,March,2022,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Khargone,7752372,CHIRAGPURA PWSS  (ODF),75.81,2017-2018,05-01-2018,03-08-2018,31-03-2019,31-03-2020,48.53927,0,48.53927,83.81,19.1179,48.53927,19.1179,Financially completed,New PWS scheme,SVS,257,186,Ground water based,,NRDWP,Ongoing and not taken for Retrofit & Augmentation (NRDWP schemes where expenditure booked since launch of JJM),0,0,0,100,Physically completed,November,2020,July,2020,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Divivsion Betul,7756531,BARANGWADI (ODF) PWSS,122.53,2017-2018,01-01-2017,28-11-2017,30-09-2019,31-03-2021,113.82936,0,113.82936,119.14646,7.16064,113.82936,7.16064,Financially completed,New PWS scheme,SVS,400,153,Ground water based,,NRDWP,Ongoing and not taken for Retrofit & Augmentation (NRDWP schemes where expenditure booked since launch of JJM),0,0,0,100,Physically completed,September,2020,July,2020,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division ANUPPUR,30221595,GIRARI KHURD PWSS,64.23,2022-2023,19-01-2023,05-06-2023,15-04-2025,16-04-2025,64.23,0,64.23,57.48068,28.79034,57.48068,28.79034,Ongoing,New PWS scheme,SVS,230,213,Ground water based,,JJM-PWS,PWS Schemes,64.23,30.509,3.212,100,Physically completed,September,2024,October,2024,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Ujjain (E&M) Division,8221972,DERKHRDI SCHEME,16.73,2020-2021,17-02-2020,26-02-2021,30-11-2022,31-12-2025,16.73,0,16.73,14.22696,8.04859,14.22696,8.04859,Ongoing,New PWS scheme,SVS,47,47,Ground water based,,JJM-PWS,PWS Schemes,16.73,7.529,1.673,100,Physically completed,April,2022,June,2022,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Khargone,8367830,NAYDAD_RETRO,176.91,2021-2022,19-08-2021,20-12-2020,,31-03-2025,176.91,0,176.91,109.08588,55.11194,109.08588,55.11194,Ongoing,retrofit/ Augmentation,SVS,348,248,Ground water based,,NRDWP,NRDWP completed and subsumed for Retrofit & Augmentation,176.91,84.032,8.845,70,Ongoing but physically not completed,February,2025,October,2024,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Sardarpur,30023494,KURDIKPURA JJM New PWSS,218.78,2021-2022,15-09-2020,11-02-2022,11-02-2024,31-03-2028,218.78,0,218.78,196.31307,98.15656,196.31307,98.15656,Ongoing,New PWS scheme,SVS,374,327,Ground water based,,JJM-PWS,PWS Schemes,218.78,103.921,10.939,100,Physically completed,May,2023,August,2023,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Ujjain,30050465,RATNAKHEDI JJM PWSS SCHEME 2021-22,22.2,2021-2022,27-11-2020,15-02-2023,03-06-2024,31-12-2025,22.2,0,22.2,19.78719,9.89359,19.78719,9.89359,Ongoing,New PWS scheme,SVS,86,73,Ground water based,,JJM-PWS,PWS Schemes,22.2,9.99,2.22,100,Physically completed,January,2024,February,2024,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Dewas,30162625,AMODIYA PWSS 2022,59.7,2021-2022,29-12-2021,02-12-2022,,31-03-2025,59.7,0,59.7,57.61205,26.82146,57.61205,26.82146,Ongoing,New PWS scheme,SVS,135,100,Ground water based,,JJM-PWS,PWS Schemes,59.7,26.865,5.97,30,Ongoing but physically not completed,February,2025,February,2025,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Neemuch,8347831,Morka (Aanganwadi),0.7,2021-2022,09-03-2021,04-04-2021,31-08-2021,31-03-2022,0.7,0,0.7,0.7,0.35,0.7,0.35,Ongoing,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,0.35,0,100,Physically completed,,,December,2021,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division SATNA,8323434,574 (SCHOOL BLOCK SOHAWAL),37.98,2021-2022,02-02-2021,25-06-2021,,31-03-2025,37.98,0,37.98,34.85435,16.84768,34.85435,16.84768,Ongoing,New PWS scheme,MVS,14,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,18.99,0,85,Ongoing but physically not completed,,,May,2022,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Morena,8244070,KHOYLA PWSS,33.42,2020-2021,09-07-2020,26-12-2020,21-01-2024,31-12-2024,33.42,0,33.42,41.65854,20.82927,41.65854,20.82927,Ongoing,retrofit/ Augmentation,MVS,150,66,Ground water based,,NRDWP,NRDWP completed and subsumed for Retrofit & Augmentation,32.93,15.064,3.293,100,Physically completed,September,2021,January,2022,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division PARASIA,30235166,BABUTOLA ANGANWADI,2.12,2022-2023,16-01-2023,17-03-2023,,31-12-2025,2.12,0,2.12,2.12,0,2.12,0,Ongoing,New PWS scheme,SVS,1,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,1.06,0,0,Ongoing but physically not completed,,,March,2025,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division CHHINDWARA,30250260,KARLI_AN,1.81,2020-2021,27-01-2021,25-10-2022,28-11-2024,29-11-2024,1.81,0,1.81,0,0,0,0,Ongoing,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,0.905,0,100,Physically completed,,,,,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Morena,30251620,BAHRAI NICHALI JJM PAHARGARH PWSS,16.36,2021-2022,13-07-2021,21-08-2023,,14-01-2025,16.36,0,16.36,5.64816,2.82408,5.64816,2.82408,Ongoing,retrofit/ Augmentation,SVS,211,29,Ground water based,,NRDWP,NRDWP completed and subsumed for Retrofit & Augmentation,16.36,7.362,1.636,0,Ongoing but physically not completed,January,2024,January,2024,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division DINDORI,30233468,KUKARIYA MAL (PWSS),66.18,2022-2023,09-12-2022,17-04-2023,,10-12-2025,66.18,0,66.18,55.84924,31.35282,55.84924,31.35282,Ongoing,New PWS scheme,SVS,98,81,Ground water based,,JJM-PWS,PWS Schemes,66.18,31.436,3.309,65,Ongoing but physically not completed,July,2024,March,2025,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division MANDLA,30012172,TINDUA BAMHANI PWSS,57.37,2020-2021,18-07-2020,02-09-2021,,31-03-2026,57.37,0,57.37,53.96153,24.30855,53.96153,24.30855,Ongoing,retrofit/ Augmentation,SVS,155,102,Ground water based,,NRDWP,NRDWP completed and subsumed for Retrofit & Augmentation,57.37,27.25,2.869,60,Ongoing but physically not completed,November,2022,April,2023,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division BALAGHAT,8240658,"Dhimrurith (School, Ang)",3.83,2020-2021,19-01-2021,22-02-2021,30-07-2024,31-07-2024,3.83,0,3.83,3.74,1.37,3.74,1.37,Ongoing,New PWS scheme,SVS,2,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,1.915,0,100,Physically completed,,,October,2022,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Dewas,6605207,BARWAI   2014  15 PWSS,59.12,2014-2015,13-02-2014,16-08-2017,31-01-2019,31-12-2024,20.0481,0,20.0481,43.90546,27.00115,20.0481,12.53421,Ongoing,New PWS scheme,SVS,344,412,Ground water based,,NRDWP,Ongoing and not taken for Retrofit & Augmentation (NRDWP schemes where expenditure booked since launch of JJM),0,0,0,100,Physically completed,January,2022,March,2022,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Sheopur,8326540,JAKHODA ANGANWADI,0.91,2021-2022,22-02-2021,03-05-2021,,31-07-2021,0.91,0,0.91,0.91,0.455,0.91,0.455,Ongoing,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,0.455,0,0,Ongoing but physically not completed,,,February,2022,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Khargone,8157859,HIRAPUR (KASD)_PWSS RETRO,95.6,2020-2021,21-12-2020,04-03-2021,19-05-2023,31-12-2024,95.6,0,95.6,70.21956,28.20552,70.21956,28.20552,Ongoing,retrofit/ Augmentation,SVS,336,331,Ground water based,,NRDWP,NRDWP completed and subsumed for Retrofit & Augmentation,95.6,45.41,4.78,100,Physically completed,January,2023,January,2023,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Divivsion Bhopal,8321391,RATATAL SCHOOL,2.34,2020-2021,30-12-2020,18-06-2021,26-09-2024,31-03-2025,2.34,0,2.34,2.34,0.52113,2.34,0.52113,Ongoing,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,1.17,0,100,Physically completed,,,December,2024,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Ratlam,30245728,Isampur JJM Retrofitting PWSS 2022-23,97.79,2023-2024,30-04-2023,01-05-2023,28-08-2024,30-04-2026,97.79,0,97.79,97.78983,43.40991,97.78983,43.40991,Ongoing,retrofit/ Augmentation,SVS,240,0,Ground water based,,NRDWP,NRDWP completed and subsumed for Retrofit & Augmentation,97.79,44.006,9.779,100,Physically completed,,,February,2025,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Divivsion Raisen,30140791,sehtganj retrofitt,76.45,2021-2022,29-11-2021,01-08-2022,04-04-2025,31-12-2025,76.45,0,76.45,72.04804,33.65,72.04804,33.65,Ongoing,retrofit/ Augmentation,SVS,306,223,Ground water based,,NRDWP,NRDWP completed and subsumed for Retrofit & Augmentation,76.45,34.403,7.645,100,Physically completed,April,2025,October,2024,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Sheopur,30132220,Agra Naveen Scheme ,46.35,2022-2023,30-11-2021,25-11-2022,,30-04-2025,46.35,0,46.35,27.75457,12.95263,27.75457,12.95263,Ongoing,New PWS scheme,SVS,84,79,Ground water based,,JJM-PWS,PWS Schemes,46.35,20.858,4.635,0,Ongoing but physically not completed,March,2025,December,2024,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,PD JAL NIGAM,8005301,MOHANPURA MVRWSS,10037,2017-2018,26-11-2020,11-07-2018,,30-10-2025,10037,0,10037,6836.54594,3192.81203,6836.54594,3192.81203,Ongoing,New PWS scheme,MVS,34846,27889,Surface water based,,JJM-PWS,PWS Schemes,0,5018.5,0,95,Ongoing but physically not completed,May,2024,February,2025,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Gwalior,30069647,BAGWALAGOAN  NEW PWSS JJM,62.74,2022-2023,21-12-2020,01-11-2022,07-09-2024,30-06-2025,62.74,0,62.74,42.64777,16.14389,42.64777,16.14389,Ongoing,New PWS scheme,SVS,166,166,Ground water based,,JJM-PWS,PWS Schemes,62.74,28.233,6.274,100,Physically completed,August,2024,January,2025,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Ratlam,30132172,BERCHHA NEW JJM 2022-23,91.75,2022-2023,27-07-2022,05-12-2022,21-03-2024,30-04-2026,91.75,0,91.75,82.576,41.288,82.576,41.288,Ongoing,New PWS scheme,SVS,281,326,Ground water based,,JJM-PWS,PWS Schemes,91.75,41.288,9.175,100,Physically completed,January,2025,October,2024,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division SHAHDOL,8129658,BANSUKLI (RETROFITTING),96.47,2020-2021,28-07-2020,03-03-2020,29-05-2023,31-08-2025,96.47,0,96.47,63.80427,28.12477,63.80427,28.12477,Ongoing,retrofit/ Augmentation,SVS,368,294,Ground water based,,NRDWP,NRDWP completed and subsumed for Retrofit & Augmentation,96.47,43.411,9.647,100,Physically completed,July,2022,September,2022,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Sheopur,7756466,DHODAR (ODF) PWSS,48.5,2017-2018,12-06-2018,24-01-2018,30-06-2019,30-06-2020,36.73,0,36.73,52.84,16.3,36.73,12.3,Financially completed,New PWS scheme,SVS,457,583,Ground water based,,NRDWP,Ongoing and not taken for Retrofit & Augmentation (NRDWP schemes where expenditure booked since launch of JJM),0,0,0,100,Physically completed,March,2020,July,2020,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Barwani,8336400,PAKHALYA SCH./AGN.JJM SCHEME,7.64,2020-2021,31-12-2020,08-02-2021,,31-03-2022,7.64,0,7.64,6.54356,2.57497,6.54356,2.57497,Ongoing,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,3.82,0,15,Ongoing but physically not completed,,,April,2022,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,EE PHED BURHANPUR,8129669,DARIYAPUR RETRO PWSS,6.08,2020-2021,26-08-2020,23-11-2020,30-09-2021,30-04-2024,6.08,0,6.08,6,3,6,3,Ongoing,retrofit/ Augmentation,SVS,36,25,Ground water based,,NRDWP,NRDWP completed and subsumed for Retrofit & Augmentation,6.08,2.736,0.608,100,Physically completed,March,2021,March,2022,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division PARASIA,30233325,BARATMARI JJM SCHEME,46.77,2022-2023,27-02-2023,08-09-2023,,31-03-2025,46.77,0,46.77,46.77,20.9554,46.77,20.9554,Ongoing,New PWS scheme,SVS,119,104,Bulk water based,,JJM-PWS,PWS Schemes,46.77,21.047,4.677,0,Ongoing but physically not completed,March,2025,September,2024,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Divivsion Harda,8352419,MORTALAI New JJM,28.43,2020-2021,20-11-2020,15-06-2021,15-03-2024,31-05-2025,28.43,0,28.43,28.43,14.10506,28.43,14.10506,Ongoing,New PWS scheme,SVS,59,59,Ground water based,,JJM-PWS,PWS Schemes,28.43,13.505,1.421,100,Physically completed,November,2021,October,2022,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Divivsion Harda,8366888,Jogikheda School Anganwadi jjm,1.19,2020-2021,23-01-2021,18-06-2021,05-06-2023,31-12-2023,1.19,0,1.19,1.02,0.51,1.02,0.51,Ongoing,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,0.595,0,100,Physically completed,,,November,2021,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division CHHINDWARA,30250469,GHOGRI RYT.__AN,4.5,2020-2021,25-01-2021,14-12-2022,,,4.5,0,4.5,0,0,0,0,Ongoing,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,2.25,0,0,Ongoing but physically not completed,,,,,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Divivsion Harda,7749805,dhurgada pwss ODF,80.52,2017-2018,17-11-2017,17-11-2017,30-06-2020,31-03-2025,76.5,0,76.5,79.91,23.705,76.5,22,Ongoing,New PWS scheme,SVS,179,266,Ground water based,,NRDWP,Ongoing and not taken for Retrofit & Augmentation (NRDWP schemes where expenditure booked since launch of JJM),0,0,0,100,Physically completed,April,2022,September,2021,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Gwalior,8337824,primary school knajar ka chak,1.72,2021-2022,21-12-2020,01-04-2021,,31-07-2021,1.72,0,1.72,0,0,0,0,Ongoing,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,0.86,0,0,Ongoing but physically not completed,,,,,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division CHHINDWARA,30248931,JAMUNIYA_PS,2.4,2020-2021,27-01-2021,06-09-2022,,29-02-2024,2.4,0,2.4,2.4,1.2,2.4,1.2,Ongoing,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,1.2,0,0,Ongoing but physically not completed,,,January,2024,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division UMARIA,8354452,School  and  Aganwadi scheme (Pali)190 AA,39.06,2020-2021,04-02-2021,18-03-2021,11-10-2023,12-10-2023,39.06,0,39.06,39.06,16.63002,39.06,16.63002,Financially completed,New PWS scheme,MVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,19.53,0,100,Physically completed,,,June,2022,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Agar,8307212,Aganwadi primary middle Lothiya kishna,8.4,2021-2022,01-01-2021,26-04-2021,26-04-2023,27-04-2023,0,0,0,0,0,0,0,Financially completed,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,4.2,0,100,Physically completed,,,,,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division CHHINDWARA,30250228,SAIKHEDA_MS,3.49,2020-2021,25-01-2021,10-10-2022,27-11-2024,28-11-2024,3.49,0,3.49,3.4,1.7,3.4,1.7,Ongoing,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,1.745,0,100,Physically completed,,,January,2024,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Neemuch,8338559,Dungarpur (Aanganwadi),1,2021-2022,09-03-2021,08-04-2021,31-07-2021,31-03-2024,1,0,1,1,0.5,1,0.5,Ongoing,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,0.5,0,100,Physically completed,,,May,2022,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division DINDORI,8373808,Amera (School/Aganwadi),13.5,2021-2022,24-12-2020,20-07-2021,,31-03-2025,13.5,0,13.5,13.5,3.48371,13.5,3.48371,Ongoing,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,6.75,0,75,Ongoing but physically not completed,,,January,2025,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Rewa (E&M) Division,30008480,M Kubri,19.99,2021-2022,25-05-2021,25-05-2021,24-07-2024,31-07-2024,19.99,0,19.99,8.84544,3.86179,8.84544,3.86179,Ongoing,New PWS scheme,SVS,20,24,Ground water based,,JJM-PWS,PWS Schemes,19.99,8.995,1.999,100,Physically completed,May,2023,September,2022,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Divivsion Indore,8353467,DONGARGAON RETROFITTING SCHEME,176.24,2020-2021,28-01-2021,04-06-2021,25-07-2023,31-03-2026,176.24,0,176.24,143.65355,64.57797,143.65355,64.57797,Ongoing,retrofit/ Augmentation,SVS,261,281,Ground water based,,NRDWP,NRDWP completed and subsumed for Retrofit & Augmentation,176.24,79.308,17.624,100,Physically completed,March,2023,February,2025,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Divivsion Bhopal,8318381,RASLA KHEDI PS SCHOOL,2.34,2020-2021,30-12-2020,18-06-2021,13-08-2024,31-10-2024,2.34,0,2.34,2.34,1.17,2.34,1.17,Financially completed,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,1.17,0,100,Physically completed,,,September,2024,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division SEONI,30233841,PIPED WATER SUPPLY SCHEME DARGADA 2023,62.21,2022-2023,27-02-2023,14-03-2023,,30-11-2025,62.21,0,62.21,51.59678,18.00722,51.59678,18.00722,Ongoing,New PWS scheme,SVS,158,135,Ground water based,,JJM-PWS,PWS Schemes,62.21,27.995,6.221,85,Ongoing but physically not completed,March,2025,March,2025,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Divivsion Harda,30068825,DHEKI NEW JJM,14.07,2022-2023,30-12-2021,07-09-2022,22-03-2025,31-05-2025,14.07,0,14.07,13.366,6.65541,13.366,6.65541,Ongoing,New PWS scheme,SVS,56,56,Ground water based,,JJM-PWS,PWS Schemes,14.07,6.683,0.704,100,Physically completed,June,2024,November,2024,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division BALAGHAT,7753689,SUNDARWAHI PWSS (ODF),84.01,2017-2018,10-12-2017,20-06-2018,30-06-2020,31-03-2020,61.9409,0,61.9409,68.0409,52.97951,61.9409,52.52951,Financially completed,retrofit/ Augmentation,SVS,7,181,Ground water based,,NRDWP,Ongoing and subsumed for Retrofit & Augmentation,84.01,37.805,8.401,100,Physically completed,January,2023,February,2021,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Gwalior,30069644,DEVRA PWSS JJM,64.72,2022-2023,23-05-2022,09-12-2022,,30-11-2024,64.72,0,64.72,2.4925,1.24625,2.4925,1.24625,Ongoing,New PWS scheme,SVS,243,0,Ground water based,,JJM-PWS,PWS Schemes,64.72,29.124,6.472,15,Ongoing but physically not completed,,,June,2023,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
