State Name,Division Name,SchemeId,Scheme Name,Estimated cost (in lakhs) as per work order,Sanction Year,SLSSC/ DWSSM meeting date (dd/mm/yyyy),Work order date (dd/mm/yyyy),Physical completion date,Tentative completion date,Derived estimated cost  (in lakhs),Total_inadmissible_cost  (in lakhs),Derived estimated cost after removing inadmisible cost loaded on JJM  (in lakhs),Total expenditure (in lakhs),Total central expenditure (in lakhs),Total expenditure (in lakhs) on or after 2019-20,Total central expenditure (in lakhs) on or after 2019-20,Work not awarded/ Ongoing/ Financially completed,New scheme/ Retrofit/ Augmentation,SVS/ MVS/ Bulk Water Schemes,FHTCS planned,FHTCS provided,Ground/ Surface water/ Bulk Water Based/ Other,Un-verified status,NRDWP/ State and Others/ JJM-PWS/ JJM-Non-PWS,Type of scheme,In-village infrastructure cost (in lakhs) (After financial authentication),Central share cost (in lakhs) (After financial authentication),Community contribution (in lakhs) (After financial authentication),Physical completion progress (In percentage),Physically completed/ Ongoing but physically not completed/ Work order not issued,Last FHTC reported Month,Last FHTC reported Year,Last Expenditure reported Month,Last Expenditure reported Year,Updated On
Madhya Pradesh,E.E. PHED Divivsion Hoshangabad,30157054,NEW PWSS SILARI KALAN,78.85,2022-2023,01-09-2022,31-05-2023,,21-11-2024,78.85,0,78.85,21.63276,10.81638,21.63276,10.81638,Ongoing,New PWS scheme,SVS,274,172,Ground water based,,JJM-PWS,PWS Schemes,78.85,35.482,7.885,40,Ongoing but physically not completed,November,2024,February,2024,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Mandsour,8223391,KHERKHEDI RETROFITTING SCHEME,49.5,2020-2021,09-07-2020,04-03-2021,29-05-2023,21-08-2024,49.5,0,49.5,35,20,35,20,Ongoing,retrofit/ Augmentation,MVS,310,32,Ground water based,,NRDWP,NRDWP completed and subsumed for Retrofit & Augmentation,49.5,22.275,4.95,100,Physically completed,September,2022,August,2022,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Gwalior (E&M) Division,8363791,ITARORA  MECH. NEW,15.98,2020-2021,24-12-2020,25-03-2021,24-05-2023,30-11-2024,15.98,0,15.98,11.8409,5.92043,11.8409,5.92043,Ongoing,New PWS scheme,SVS,45,36,Ground water based,,JJM-PWS,PWS Schemes,15.98,7.191,1.598,100,Physically completed,May,2022,July,2022,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Chhatarpur,8369459,MS BHAGORA,1.78,2021-2022,12-03-2021,01-04-2021,03-02-2024,09-02-2024,1,0,1,1,0.5,1,0.5,Financially completed,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,0.89,0,100,Physically completed,,,June,2022,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Divivsion Betul,30081537,TAWDA JJM RETRO,19.71,2020-2021,16-08-2020,04-02-2021,,30-08-2024,19.71,0,19.71,5.61661,2.8083,5.61661,2.8083,Ongoing,retrofit/ Augmentation,SVS,5,0,Ground water based,,NRDWP,NRDWP completed and subsumed for Retrofit & Augmentation,19.71,8.87,1.971,0,Ongoing but physically not completed,,,August,2023,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division CHHINDWARA,30249606,BODI_AN,1.5,2020-2021,30-01-2021,10-10-2022,,31-03-2025,1.5,0,1.5,1.5,0,1.5,0,Ongoing,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,0.75,0,0,Ongoing but physically not completed,,,October,2024,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Guna,8226588,KERAGARH Retrofiting,40.8,2020-2021,24-08-2020,25-01-2021,18-05-2023,30-06-2024,40.8,0,40.8,39.8623,16.40768,39.8623,16.40768,Ongoing,retrofit/ Augmentation,SVS,131,124,Ground water based,,NRDWP,NRDWP completed and subsumed for Retrofit & Augmentation,40.8,18.36,4.08,100,Physically completed,September,2022,March,2023,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division SHAHDOL,8129588,AMRAHA (RETROFITTING),29.28,2020-2021,10-09-2020,02-11-2020,03-03-2025,30-09-2025,29.28,0,29.28,28.04703,13.04968,28.04703,13.04968,Ongoing,retrofit/ Augmentation,SVS,407,197,Ground water based,,NRDWP,NRDWP completed and subsumed for Retrofit & Augmentation,29.28,13.176,2.928,100,Physically completed,January,2025,October,2024,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division DINDORI,8349038,Silyari (School/Aganwadi),5.93,2021-2022,24-12-2020,03-06-2021,,19-11-2024,5.93,0,5.93,0,0,0,0,Ongoing,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,2.965,0,75,Ongoing but physically not completed,,,,,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Khurai,8063614,Lakhankheda,21.48,2020-2021,22-07-2020,01-09-2020,,31-03-2022,21.48,0,21.48,11.30401,4.09754,11.30401,4.09754,Ongoing,New PWS scheme,SVS,25,0,Ground water based,,JJM-PWS,PWS Schemes,21.48,9.666,2.148,26,Ongoing but physically not completed,,,March,2021,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
